,timestamp,is_fix,gaze_smooth_x,gaze_smooth_y,gaze_raw_x,gaze_raw_y,lefteye_smooth_x,lefteye_smooth_y,lefteye_raw_x,lefteye_raw_y,lefteye_psize,lefteye_p_x,lefteye_p_y,righteye_smooth_x,righteye_smooth_y,righteye_raw_x,righteye_raw_y,righteye_psize,righteye_p_x,righteye_p_y
24,2023-01-17 20:22:11.525,True,1152.8087,530.1932,1116.8716,505.0333,1128.6653,492.0701,1138.9199,504.0403,35.6524,0.2839,0.4911,1094.8234,506.0263,1094.8234,506.0263,33.8111,0.5325,0.4996
25,2023-01-17 20:22:11.558,False,1112.7483,510.6038,1113.9867,532.5678,1126.266,512.7551,1121.4454,553.8017,36.1549,0.2855,0.4911,1100.6831,508.6835,1106.528,511.334,33.5435,0.534,0.4997
26,2023-01-17 20:22:11.591,False,1125.886,516.355,1137.0267,506.9084,1125.886,516.355,1124.7444,526.6554,36.0621,0.2874,0.4908,1116.9707,501.4835,1149.3091,487.1614,33.3899,0.5359,0.4999
27,2023-01-17 20:22:11.625,False,1123.3176,512.124,1119.3623,503.8592,1126.0927,513.2555,1126.9011,500.6201,35.3881,0.2895,0.4905,1115.7417,502.8757,1111.8236,507.0983,33.7816,0.5378,0.5004
28,2023-01-17 20:22:11.658,False,1127.144,510.5488,1191.7959,505.9247,1133.2272,512.1277,1167.9083,506.3397,34.7104,0.2923,0.4902,1136.0831,503.4,1215.6835,505.5097,33.4935,0.5407,0.5009
29,2023-01-17 20:22:11.691,False,1130.9689,511.0892,1179.5885,541.5256,1139.9459,516.2555,1178.2166,539.8857,35.2189,0.2944,0.49,1143.9469,510.1785,1180.9604,543.1655,32.8753,0.5426,0.5012
30,2023-01-17 20:22:11.725,False,1135.6383,511.1208,1196.8159,541.769,1145.9392,522.8856,1184.6519,566.4187,35.2154,0.2968,0.4895,1153.8057,511.2724,1208.9799,517.1193,32.3286,0.5449,0.5011
31,2023-01-17 20:22:11.758,True,1139.4108,511.8915,1196.6331,525.6136,1151.5118,526.0613,1191.4164,548.4545,34.6616,0.2992,0.4889,1160.4301,510.2365,1201.8496,502.7728,32.3009,0.5472,0.5014
32,2023-01-17 20:22:11.791,True,1142.5897,512.4576,1191.2101,494.7379,1154.7042,523.3485,1178.5012,498.8722,34.0764,0.3017,0.4885,1165.9463,507.9768,1203.9189,490.6036,32.7626,0.5495,0.5019
33,2023-01-17 20:22:11.825,True,1145.4948,513.1891,1201.3206,526.101,1159.1434,522.9839,1196.2465,518.4093,34.2966,0.3045,0.4886,1170.7345,510.7483,1206.3947,533.7925,33.0473,0.5521,0.5028
